SampleID	SamplePoint	Lake	Run	Type	Surround	UpstreamBuild	UpstreamFarm	UpstreamPast	Size(stream)	Month	Coliforms	E. coli	Entero	C. perf	Area	Elevation	Ave.Depth	Max.Depth	Shoreline	Volume	WS.Area	WS.Ac.Area	WS.Frac.Water.Area	WS.Frac.Forest.Area	WS.Frac.Farm.Area	Turbidity	ColorVal	pH	Alkalinity	CODMn	Conductivity	TotalHardness	Cloride	Sulfate	Ammonium	Ammonium_nitrogen	Nitrate	Nitrate_nitrogen	Sodium	Potassium	Calcium	Iron	Magnesium	Manganese	Aluminium	Copper
Ok2.18	Oklangen-2	Oklangen	A	Point	Forest	FALSE	FALSE	TRUE	Middle	2-FALSEv	1203.3	5.2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.2.omg3	Oklangen-2	Oklangen	B	Point	Forest	FALSE	FALSE	TRUE	Middle	3-May	158.5	2	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.2.omg4	Oklangen-2	Oklangen	B	Point	Forest	FALSE	FALSE	TRUE	Middle	4-Aug	2419.2	47.1	2	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok3.29	Oklangen-3	Oklangen	A	Point	Forest	FALSE	FALSE	TRUE	Middle	1-Oct	201.4	6.3	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok3.18	Oklangen-3	Oklangen	A	Point	Forest	FALSE	FALSE	TRUE	Middle	2-FALSEv	1119.9	4.1	1	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.3.omg3	Oklangen-3	Oklangen	B	Point	Forest	FALSE	FALSE	TRUE	Middle	3-May	248.1	13.5	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.3.omg4	Oklangen-3	Oklangen	B	Point	Forest	FALSE	FALSE	TRUE	Middle	4-Aug	2419.2	198.6	10.7	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok4.29	Oklangen-4	Oklangen	A	Point	Forest	FALSE	FALSE	FALSE	Middle	1-Oct	77.6	5.2	1	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok4.18	Oklangen-4	Oklangen	A	Point	Forest	FALSE	FALSE	FALSE	Middle	2-FALSEv	524.7	8.4	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.4.omg3	Oklangen-4	Oklangen	B	Point	Forest	FALSE	FALSE	FALSE	Middle	3-May	172	3	1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.4.omg4	Oklangen-4	Oklangen	B	Point	Forest	FALSE	FALSE	FALSE	Middle	4-Aug	1299.7	24.7	3.1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok5.29	Oklangen-5	Oklangen	A	Point	Field	FALSE	TRUE	FALSE	Small	1-Oct	2419.2	142.1	1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok5.18	Oklangen-5	Oklangen	A	Point	Field	FALSE	TRUE	FALSE	Small	2-FALSEv	2419.2	146.7	2	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.5.omg3	Oklangen-5	Oklangen	B	Point	Field	FALSE	TRUE	FALSE	Small	3-May	2419.2	727	2	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.73	19	6.6	16	4.2	14	2	16	8.4	0.84	0.65	19	4.3	9.2	1.6	9.3	0.074	2.9	0.047	0.12	0.0013
Ok.5.omg4	Oklangen-5	Oklangen	B	Point	Field	FALSE	TRUE	FALSE	Small	4-Aug	2419.2	866.4	12.1	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.3	43	6.6	13	4.8	11	1.6	14	7.6	0.4	0.31	7.1	1.6	8.9	1.5	7.3	0.46	2.5	0.091	0.25	0.00074
Ok.5ner.omg4	Oklangen-5	Oklangen	B	Point	Field	FALSE	TRUE	FALSE	Small	4-Aug	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.5upp.omg4	Oklangen-5	Oklangen	B	Point	Field	FALSE	TRUE	FALSE	Small	4-Aug	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.5upp2.omg4	Oklangen-5	Oklangen	B	Point	Field	FALSE	TRUE	FALSE	Small	4-Aug	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok6.29	Oklangen-6	Oklangen	A	Point	Forest	FALSE	TRUE	TRUE	Small	1-Oct	117.8	3.1	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok6.18	Oklangen-6	Oklangen	A	Point	Forest	FALSE	TRUE	TRUE	Small	2-FALSEv	280.9	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.6.omg3	Oklangen-6	Oklangen	B	Point	Forest	FALSE	TRUE	TRUE	Small	3-May	151.5	1	1	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok.6.omg4	Oklangen-6	Oklangen	B	Point	Forest	FALSE	TRUE	TRUE	Small	4-Aug	2419.2	51.2	18.3	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ok7.29	Oklangen-7	Oklangen	A	Point	Field	FALSE	TRUE	TRUE	Small	1-Oct	156.5	11	4.1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
